app,period,negative_reviews,delivery_delay,refund_issues,item_quality,missing_wrong_items,pricing_charges,payment_issues,returns_replacement,app_bugs,customer_support,delivery_partner,stock_availability,cancellation,membership,packaging
blinkit,2025Q1,50,0.04,0.14,0.08,0.08,0.36,0.02,0.02,0.06,0.12,0.12,0.16,0.12,0.0,0.06
blinkit,2025Q2,70,0.0714,0.0857,0.0714,0.1286,0.2571,0.0429,0.0714,0.0714,0.2286,0.1286,0.0714,0.0857,0.0,0.0429
blinkit,2025Q3,130,0.0538,0.1077,0.0692,0.0923,0.2923,0.0308,0.0615,0.0385,0.1077,0.1231,0.1615,0.0769,0.0,0.0385
blinkit,2025Q4,83,0.0843,0.1205,0.0723,0.0482,0.2771,0.0964,0.0482,0.0843,0.253,0.1325,0.1566,0.0843,0.0,0.0361
blinkit,2026Q1,468,0.0662,0.1303,0.0833,0.062,0.2778,0.0577,0.0726,0.0513,0.141,0.1218,0.0876,0.0662,0.0021,0.0406
blinkit,2026Q2,3137,0.0711,0.109,0.1125,0.0724,0.2206,0.0363,0.0736,0.0347,0.1524,0.0979,0.0669,0.0657,0.001,0.0386
blinkit,2026Q3,6462,0.0525,0.0891,0.0896,0.0562,0.1741,0.0218,0.061,0.0212,0.1277,0.0845,0.0413,0.05,0.0002,0.0231
instamart,2018Q4,55,0.0727,0.1091,0.0182,0.1455,0.1818,0.0727,0.0364,0.0182,0.1636,0.1091,0.0909,0.1636,0.0182,0.0182
instamart,2019Q1,57,0.0877,0.1404,0.0175,0.0702,0.1053,0.0175,0.0351,0.0702,0.2105,0.0877,0.0702,0.2281,0.0175,0.0351
instamart,2019Q2,55,0.1455,0.1455,0.0,0.0545,0.1091,0.0364,0.0182,0.0727,0.2909,0.0727,0.1091,0.1091,0.0182,0.0182
instamart,2019Q3,98,0.1327,0.1122,0.0,0.0408,0.1837,0.0306,0.0102,0.0816,0.2347,0.102,0.0408,0.1633,0.0204,0.0204
instamart,2019Q4,116,0.1207,0.0862,0.0517,0.1034,0.2241,0.0172,0.0259,0.0431,0.2328,0.1207,0.0517,0.2241,0.0431,0.0345
instamart,2020Q1,77,0.0909,0.0519,0.026,0.1039,0.2208,0.0,0.013,0.0779,0.2338,0.2208,0.0,0.1688,0.039,0.0
instamart,2020Q3,45,0.1333,0.1556,0.0,0.0667,0.2667,0.0667,0.0,0.0667,0.0667,0.2222,0.0444,0.2667,0.0444,0.0444
instamart,2020Q4,68,0.1176,0.0882,0.0147,0.0441,0.25,0.0147,0.0,0.1029,0.1029,0.2059,0.0588,0.1618,0.0147,0.0147
instamart,2021Q1,49,0.1633,0.1224,0.0204,0.0204,0.2653,0.0204,0.0,0.0612,0.102,0.1633,0.0204,0.1224,0.0,0.0408
instamart,2021Q2,55,0.0909,0.1455,0.0,0.0545,0.2727,0.0909,0.0182,0.1273,0.2545,0.0909,0.0909,0.1636,0.0,0.0182
instamart,2021Q3,60,0.1833,0.1333,0.0333,0.05,0.1667,0.0167,0.0,0.1,0.2333,0.1167,0.0167,0.1833,0.0167,0.0167
instamart,2022Q1,44,0.2727,0.1364,0.0227,0.0682,0.1591,0.0227,0.0227,0.0455,0.1818,0.1818,0.1136,0.2273,0.1136,0.0227
instamart,2022Q2,62,0.1452,0.1129,0.0161,0.129,0.1613,0.0161,0.0323,0.0323,0.1935,0.2097,0.0484,0.129,0.0484,0.0484
instamart,2024Q4,44,0.0682,0.1136,0.0227,0.0909,0.1591,0.0,0.0227,0.1136,0.2045,0.1591,0.0227,0.3182,0.0455,0.0
instamart,2025Q1,42,0.119,0.0952,0.0238,0.0952,0.2143,0.0476,0.0,0.0476,0.3333,0.1667,0.0238,0.1429,0.0714,0.0
instamart,2025Q4,40,0.125,0.1,0.075,0.125,0.375,0.0,0.025,0.075,0.2,0.275,0.025,0.35,0.0,0.0
instamart,2026Q1,92,0.1957,0.2174,0.0326,0.0761,0.2174,0.0326,0.0217,0.0652,0.2609,0.1522,0.0326,0.1739,0.0435,0.0326
instamart,2026Q2,693,0.1457,0.1342,0.0404,0.1039,0.2063,0.0144,0.0173,0.0274,0.2684,0.1255,0.0332,0.1833,0.0072,0.0144
instamart,2026Q3,2234,0.0944,0.1356,0.056,0.0824,0.1674,0.0125,0.0192,0.0372,0.2435,0.1186,0.0219,0.1553,0.0103,0.0148
zepto,2022Q2,76,0.0395,0.0526,0.0921,0.0789,0.2368,0.0132,0.0132,0.0789,0.1711,0.1184,0.1184,0.0,0.0,0.0658
zepto,2022Q3,58,0.0345,0.0862,0.1724,0.1379,0.0862,0.0517,0.0172,0.1034,0.0862,0.0862,0.1034,0.0172,0.0,0.0345
zepto,2024Q1,45,0.0222,0.0889,0.0222,0.0222,0.2222,0.0667,0.0,0.0889,0.1111,0.1556,0.0889,0.0222,0.0222,0.0
zepto,2024Q2,77,0.1558,0.1039,0.0519,0.013,0.1429,0.039,0.039,0.0519,0.1948,0.1299,0.0519,0.039,0.026,0.0
zepto,2024Q3,71,0.0845,0.0423,0.0563,0.0282,0.2958,0.1549,0.0282,0.1127,0.1408,0.1127,0.0141,0.0845,0.0423,0.0
zepto,2024Q4,162,0.0494,0.0926,0.0185,0.0556,0.1605,0.2037,0.0309,0.0864,0.1914,0.0926,0.142,0.0802,0.0556,0.0309
zepto,2025Q1,230,0.0261,0.0696,0.0696,0.0522,0.2478,0.0391,0.0391,0.0609,0.1304,0.1043,0.0913,0.0522,0.0652,0.0261
zepto,2025Q2,255,0.051,0.0588,0.0392,0.0353,0.4039,0.0627,0.0471,0.0314,0.0863,0.0784,0.0667,0.0784,0.0902,0.0118
zepto,2025Q3,97,0.0515,0.1134,0.0825,0.0412,0.2887,0.0722,0.0722,0.0515,0.1959,0.0825,0.0825,0.0515,0.0412,0.0412
zepto,2025Q4,57,0.0526,0.0702,0.0526,0.1404,0.1579,0.0351,0.0175,0.1228,0.1579,0.1228,0.1053,0.1404,0.0175,0.0877
zepto,2026Q1,451,0.0599,0.0488,0.082,0.0421,0.0466,0.0288,0.0222,0.0466,0.1286,0.0599,0.0333,0.0643,0.0022,0.0244
zepto,2026Q2,1098,0.0911,0.1311,0.1658,0.0956,0.061,0.0219,0.0583,0.0346,0.2168,0.1102,0.0428,0.0792,0.0009,0.0246
zepto,2026Q3,1860,0.0505,0.1785,0.2183,0.1242,0.0629,0.0151,0.0984,0.0409,0.3215,0.1188,0.036,0.0737,0.0022,0.0312
